State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
Uttar Pradesh,Mirzapur,ANIL KUMAR,Eklavya Samaj Party,6166,5,6171,0.56,Lost
Uttar Pradesh,Mirzapur,DAULAT SINGH,Apna Dal (Kamerawadi),5227,8,5235,0.47,Lost
Uttar Pradesh,Mirzapur,RAMDHANI,Rashtriya Samaj Paksha,4914,1,4915,0.44,Lost
Uttar Pradesh,Mirzapur,SAMEER SINGH,All India Forward Bloc,3486,1,3487,0.32,Lost
Uttar Pradesh,Mirzapur,SATYADEV,Purvanchal Mahapanchayat,3351,4,3355,0.3,Lost
Uttar Pradesh,Mirzapur,NOTA,None of the Above,15043,6,15049,1.36,Lost
Uttar Pradesh,Misrikh,ASHOK KUMAR RAWAT,Bharatiya Janata Party,473971,1045,475016,45.15,Won
Uttar Pradesh,Misrikh,SANGITA RAJVANSHI,Samajwadi Party,440157,1453,441610,41.98,Lost
Uttar Pradesh,Misrikh,B R AHIRWAR,Bahujan Samaj Party,111670,275,111945,10.64,Lost
Uttar Pradesh,Misrikh,RAMPAL,Independent,3973,5,3978,0.38,Lost
Uttar Pradesh,Misrikh,LALIT KUMAR,Bhartiya Shakti Chetna Party,3811,4,3815,0.36,Lost
Uttar Pradesh,Misrikh,Neelam Singh,Independent,2899,6,2905,0.28,Lost
Uttar Pradesh,Misrikh,VANDNA  VERMA,Naari Nar Rakshak Party,1907,5,1912,0.18,Lost
Uttar Pradesh,Misrikh,AVDHESH,Independent,1419,4,1423,0.14,Lost
Uttar Pradesh,Misrikh,SAVITRI DEVI,Rashtriya Janshakti Samaj Party,1347,3,1350,0.13,Lost
Uttar Pradesh,Misrikh,NOTA,None of the Above,7997,32,8029,0.76,Lost
Uttar Pradesh,Mohanlalganj,R.K. CHAUDHARY,Samajwadi Party,666560,1309,667869,48.49,Won
Uttar Pradesh,Mohanlalganj,KAUSHAL KISHORE,Bharatiya Janata Party,596197,1380,597577,43.38,Lost
Uttar Pradesh,Mohanlalganj,RAJESH KUMAR,Bahujan Samaj Party,88257,204,88461,6.42,Lost
Uttar Pradesh,Mohanlalganj,MAHENDRA,Independent,2654,7,2661,0.19,Lost
Uttar Pradesh,Mohanlalganj,SUSHIL KUMAR,Independent,2626,1,2627,0.19,Lost
Uttar Pradesh,Mohanlalganj,RAMESH KUMAR,Independent,1839,2,1841,0.13,Lost
Uttar Pradesh,Mohanlalganj,SUNITA CHHEDA PASI,Aam Janta Party (India),1736,13,1749,0.13,Lost
Uttar Pradesh,Mohanlalganj,S. L.SINGH,Peoples Party of India (Democratic),1711,6,1717,0.12,Lost
Uttar Pradesh,Mohanlalganj,BRIJESH KUMAR VIKRAM,Rashtriya Samaj Paksha,1648,7,1655,0.12,Lost
Uttar Pradesh,Mohanlalganj,JITENDRA KUMAR,Independent,1402,12,1414,0.1,Lost
Uttar Pradesh,Mohanlalganj,SURAJ KUMAR,Sardar Patel Siddhant Party,1010,5,1015,0.07,Lost
Uttar Pradesh,Mohanlalganj,NOTA,None of the Above,8838,28,8866,0.64,Lost
Uttar Pradesh,Moradabad,RUCHI VIRA,Samajwadi Party,636733,630,637363,49.67,Won
Uttar Pradesh,Moradabad,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,530176,1425,531601,41.43,Lost
Uttar Pradesh,Moradabad,MO IRFAN,Bahujan Samaj Party,92116,197,92313,7.19,Lost
Uttar Pradesh,Moradabad,AJAY YADAV,Apna Haq Party,4084,10,4094,0.32,Lost
Uttar Pradesh,Moradabad,MUSHARRAT HUSAIN,Independent,2583,0,2583,0.2,Lost
Uttar Pradesh,Moradabad,SADHNA SINGH,Independent,2292,4,2296,0.18,Lost
Uttar Pradesh,Moradabad,MOHD JAMSHED,Independent,1717,2,1719,0.13,Lost
Uttar Pradesh,Moradabad,ONKAR SINGH,Bharatiya Bahujan Samta Party,1449,10,1459,0.11,Lost
Uttar Pradesh,Moradabad,SHAKIL AHMED,Samata Party,1356,0,1356,0.11,Lost
Uttar Pradesh,Moradabad,HAR KISHORE SINGH,Socialist Unity Centre Of India (COMMUNIST),940,0,940,0.07,Lost
Uttar Pradesh,Moradabad,AMARJEET SINGH JATAV,Independent,937,15,952,0.07,Lost
Uttar Pradesh,Moradabad,GANGARAM SHARMA,Rashtriya Congress(J) Party,629,56,685,0.05,Lost
Uttar Pradesh,Moradabad,NOTA,None of the Above,5807,17,5824,0.45,Lost
Uttar Pradesh,Muzaffarnagar,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64,Won
Uttar Pradesh,Muzaffarnagar,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,443815,2234,446049,41.35,Lost
Uttar Pradesh,Muzaffarnagar,DARA SINGH PRAJAPATI,Bahujan Samaj Party,143323,384,143707,13.32,Lost
Uttar Pradesh,Muzaffarnagar,SUNIL TYAGI,Independent,7131,36,7167,0.66,Lost
Uttar Pradesh,Muzaffarnagar,KAVITA,Rashtrawadi Janlok Party (Satya),1970,30,2000,0.19,Lost
Uttar Pradesh,Muzaffarnagar,SHASHIKANT SHAMAR,Independent,1429,2,1431,0.13,Lost
Uttar Pradesh,Muzaffarnagar,BIRBAL SINGH,Vishal Janta Party,1419,2,1421,0.13,Lost
Uttar Pradesh,Muzaffarnagar,NEEL KUMAR,Jai Samta Party,858,3,861,0.08,Lost
Uttar Pradesh,Muzaffarnagar,RESHU SHARMA,Independent,679,5,684,0.06,Lost
Uttar Pradesh,Muzaffarnagar,ANKUR,Independent,362,10,372,0.03,Lost
Uttar Pradesh,Muzaffarnagar,MANUJ VERMA,Independent,333,7,340,0.03,Lost
Uttar Pradesh,Muzaffarnagar,NOTA,None of the Above,3884,32,3916,0.36,Lost
Uttar Pradesh,Nagina,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),511812,740,512552,51.19,Won
Uttar Pradesh,Nagina,OM KUMAR,Bharatiya Janata Party,359751,1328,361079,36.06,Lost
Uttar Pradesh,Nagina,MANOJ KUMAR,Samajwadi Party,102104,270,102374,10.22,Lost
Uttar Pradesh,Nagina,SURENDRA PAL SINGH,Bahujan Samaj Party,13212,60,13272,1.33,Lost
Uttar Pradesh,Nagina,JOGENDRA,Independent,4509,9,4518,0.45,Lost
Uttar Pradesh,Nagina,SANJEEV KUMAR,Independent,2195,6,2201,0.22,Lost
Uttar Pradesh,Nagina,NOTA,None of the Above,5287,20,5307,0.53,Lost
Uttar Pradesh,Phulpur,PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6,Won
Uttar Pradesh,Phulpur,AMAR NATH SINGH MAURYA,Samajwadi Party,446596,1672,448268,44.17,Lost
Uttar Pradesh,Phulpur,JAGANNATH PAL,Bahujan Samaj Party,82375,211,82586,8.14,Lost
Uttar Pradesh,Phulpur,MAHIMA PATEL,Apna Dal (Kamerawadi),4134,28,4162,0.41,Lost
Uttar Pradesh,Phulpur,JILA JEET BHARTIY,Bahujan Awam Party,3294,5,3299,0.33,Lost
Uttar Pradesh,Phulpur,SUNIL KUMAR PRAJAPATI,Bhagidari Party(P),3040,7,3047,0.3,Lost
Uttar Pradesh,Phulpur,ENGG YOGESH KUSHWAHA,Pragatisheel Samaj Party,2768,3,2771,0.27,Lost
Uttar Pradesh,Phulpur,AKHILESH TRIPATHI,Independent,2295,3,2298,0.23,Lost
Uttar Pradesh,Phulpur,NAFIS AHAMAD,Independent,2145,2,2147,0.21,Lost
Uttar Pradesh,Phulpur,DR NEERAJ,Independent,1702,8,1710,0.17,Lost
Uttar Pradesh,Phulpur,SANJEEV KUMAR MISHRA,Yuva Vikas Party,1675,4,1679,0.17,Lost
Uttar Pradesh,Phulpur,MUSHIR AHMAD SIDDIQUI,Peoples Party of India (Democratic),1505,1,1506,0.15,Lost
Uttar Pradesh,Phulpur,SANGEETA YADAV,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1283,8,1291,0.13,Lost
Uttar Pradesh,Phulpur,LALA RAM SAROJ,Prabuddhwadi Bahujan Morcha,1043,9,1052,0.1,Lost
Uttar Pradesh,Phulpur,PRAMOD BHAI PATEL URF P K,Sardar Patel Siddhant Party,947,1,948,0.09,Lost
Uttar Pradesh,Phulpur,NOTA,None of the Above,5445,15,5460,0.54,Lost
Uttar Pradesh,Pilibhit,JITIN PRASADA,Bharatiya Janata Party,605199,1959,607158,52.3,Won
Uttar Pradesh,Pilibhit,BHAGWAT SARAN GANGWAR,Samajwadi Party,439735,2488,442223,38.09,Lost
Uttar Pradesh,Pilibhit,ANIS AHMED KHAN (PHOOL BABU),Bahujan Samaj Party,89252,445,89697,7.73,Lost
Uttar Pradesh,Pilibhit,RAJEEV KUMAR SAXENA,Bhartiya Krishak Dal,3800,9,3809,0.33,Lost
Uttar Pradesh,Pilibhit,SUSHIL KUMAR SHUKLA,Independent,2723,4,2727,0.23,Lost
Uttar Pradesh,Pilibhit,MOHMMAD SHAHID HUSAIN,Independent,1842,4,1846,0.16,Lost
Uttar Pradesh,Pilibhit,ASHISH KUMAR,Independent,1842,8,1850,0.16,Lost
Uttar Pradesh,Pilibhit,ADARSH PANDEY,Independent,1714,12,1726,0.15,Lost
Uttar Pradesh,Pilibhit,SANJAY KUMAR BHARTI,Rashtriya Samaj Dal (R),1621,10,1631,0.14,Lost
Uttar Pradesh,Pilibhit,PRAMOD BHAI PATEL ALIAS P.K.,Independent,1525,14,1539,0.13,Lost
Uttar Pradesh,Pilibhit,NOTA,None of the Above,6714,27,6741,0.58,Lost
Uttar Pradesh,Pratapgarh,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836,2096,441932,46.65,Won
