State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58,Won
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,77829,211,78040,38.54,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236,18,8254,04.08,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,D AYYAPPAN,Communist Party of India  (Marxist),6009,8,6017,2.97,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V.K. ABDUL AZIZ,Independent,2195,8,2203,01.09,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911,3,914,0.45,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714,5,719,0.36,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,RINKU MALA MONDAL,Independent,539,3,542,0.27,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,Independent,506,1,507,0.25,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,USHA KUMARI,Independent,378,2,380,0.19,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349,2,351,0.17,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANAND RAMNATH ARLEKAR,Independent,342,0,342,0.17,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,None of the Above,1802,7,1809,0.89,Lost
Andhra Pradesh,Amalapuram (SC),G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25,Won
Andhra Pradesh,Amalapuram (SC),RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95,Lost
Andhra Pradesh,Amalapuram (SC),GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16,Lost
Andhra Pradesh,Amalapuram (SC),DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41,Lost
Andhra Pradesh,Amalapuram (SC),KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29,Lost
Andhra Pradesh,Amalapuram (SC),VADDI LALITH KUMAR,Independent,2974,3,2977,0.23,Lost
Andhra Pradesh,Amalapuram (SC),MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16,Lost
Andhra Pradesh,Amalapuram (SC),GUDE VENKATESWARULU,Independent,1741,4,1745,0.13,Lost
Andhra Pradesh,Amalapuram (SC),RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07,Lost
Andhra Pradesh,Amalapuram (SC),YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06,Lost
Andhra Pradesh,Amalapuram (SC),MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06,Lost
Andhra Pradesh,Amalapuram (SC),GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06,Lost
Andhra Pradesh,Amalapuram (SC),YADLA RAJESH,Liberation Congress Party,628,7,635,0.05,Lost
Andhra Pradesh,Amalapuram (SC),KAPA KALYAN,Republican Party of India (A),579,2,581,0.04,Lost
Andhra Pradesh,Amalapuram (SC),PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,0.04,Lost
Andhra Pradesh,Amalapuram (SC),NOTA,None of the Above,13418,100,13518,01.04,Lost
Andhra Pradesh,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5,Won
Andhra Pradesh,Anakapalle,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762,5777,465539,35.13,Lost
Andhra Pradesh,Anakapalle,VEGI VENKATESH,Indian National Congress,24833,818,25651,1.94,Lost
Andhra Pradesh,Anakapalle,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082,75,19157,1.45,Lost
Andhra Pradesh,Anakapalle,VANKAYALA RAMACHANDRA RAO,Independent,4001,1,4002,0.3,Lost
Andhra Pradesh,Anakapalle,LOVARAJU SIDDHA,Independent,3845,7,3852,0.29,Lost
Andhra Pradesh,Anakapalle,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,8,3557,0.27,Lost
Andhra Pradesh,Anakapalle,GARA SURYA RAO,Independent,3116,8,3124,0.24,Lost
Andhra Pradesh,Anakapalle,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589,30,2619,0.2,Lost
Andhra Pradesh,Anakapalle,NAGESWARA RAO PETLA,Independent,2179,5,2184,0.16,Lost
Andhra Pradesh,Anakapalle,ADARI SARAT CHANDRA,Jai Bharat National Party,1886,27,1913,0.14,Lost
Andhra Pradesh,Anakapalle,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578,13,1591,0.12,Lost
Andhra Pradesh,Anakapalle,DR. THUMMAPALA HARI  SHANKAR,Independent,1567,9,1576,0.12,Lost
Andhra Pradesh,Anakapalle,JUNNURI J SRINIVAS,Independent,1195,6,1201,0.09,Lost
Andhra Pradesh,Anakapalle,APPALANAIDU TUMMAGUNTA,Independent,1055,7,1062,0.08,Lost
Andhra Pradesh,Anakapalle,NOTA,None of the Above,26084,151,26235,1.98,Lost
Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,Won
Andhra Pradesh,Ananthapur,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24,Lost
Andhra Pradesh,Ananthapur,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3,Lost
Andhra Pradesh,Ananthapur,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45,Lost
Andhra Pradesh,Ananthapur,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44,Lost
Andhra Pradesh,Ananthapur,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4,Lost
Andhra Pradesh,Ananthapur,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35,Lost
Andhra Pradesh,Ananthapur,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2,Lost
Andhra Pradesh,Ananthapur,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18,Lost
Andhra Pradesh,Ananthapur,P.CHOWDESWARI,Independent,1514,4,1518,0.11,Lost
Andhra Pradesh,Ananthapur,VADLA KESAVAIAH,Independent,1488,6,1494,0.1,Lost
Andhra Pradesh,Ananthapur,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09,Lost
Andhra Pradesh,Ananthapur,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08,Lost
Andhra Pradesh,Ananthapur,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08,Lost
Andhra Pradesh,Ananthapur,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06,Lost
Andhra Pradesh,Ananthapur,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05,Lost
Andhra Pradesh,Ananthapur,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05,Lost
Andhra Pradesh,Ananthapur,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04,Lost
Andhra Pradesh,Ananthapur,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04,Lost
Andhra Pradesh,Ananthapur,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03,Lost
Andhra Pradesh,Ananthapur,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03,Lost
Andhra Pradesh,Ananthapur,NOTA,None of the Above,9014,185,9199,0.64,Lost
Andhra Pradesh,Araku (ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96,Won
Andhra Pradesh,Araku (ST),KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62,Lost
Andhra Pradesh,Araku (ST),APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016,4113,123129,10.57,Lost
Andhra Pradesh,Araku (ST),AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21,Lost
Andhra Pradesh,Araku (ST),SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.82,Lost
Andhra Pradesh,Araku (ST),NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81,Lost
Andhra Pradesh,Araku (ST),ATHIDHI,Independent,8121,15,8136,0.7,Lost
Andhra Pradesh,Araku (ST),CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62,Lost
Andhra Pradesh,Araku (ST),MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58,Lost
Andhra Pradesh,Araku (ST),RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52,Lost
Andhra Pradesh,Araku (ST),RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43,Lost
Andhra Pradesh,Araku (ST),MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43,Lost
Andhra Pradesh,Araku (ST),VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39,Lost
Andhra Pradesh,Araku (ST),NOTA,None of the Above,50205,265,50470,4.33,Lost
Andhra Pradesh,Bapatla (SC),KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16,Won
Andhra Pradesh,Bapatla (SC),NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17,Lost
Andhra Pradesh,Bapatla (SC),J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33,Lost
Andhra Pradesh,Bapatla (SC),DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53,Lost
Andhra Pradesh,Bapatla (SC),NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23,Lost
Andhra Pradesh,Bapatla (SC),BUSSA. NAGARAJU,Independent,1311,7,1318,0.1,Lost
Andhra Pradesh,Bapatla (SC),GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08,Lost
Andhra Pradesh,Bapatla (SC),KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07,Lost
Andhra Pradesh,Bapatla (SC),KONDRU KIRAN KUMAR,Independent,791,6,797,0.06,Lost
Andhra Pradesh,Bapatla (SC),KATTA ANAND BABU,Independent,704,25,729,0.06,Lost
Andhra Pradesh,Bapatla (SC),MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05,Lost
Andhra Pradesh,Bapatla (SC),KATTA HEMANAND,Independent,547,2,549,0.04,Lost
Andhra Pradesh,Bapatla (SC),PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03,Lost
Andhra Pradesh,Bapatla (SC),PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02,Lost
Andhra Pradesh,Bapatla (SC),CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02,Lost
Andhra Pradesh,Bapatla (SC),NOTA,None of the Above,13599,124,13723,01.06,Lost
Andhra Pradesh,Chittoor(SC),DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84,Won
Andhra Pradesh,Chittoor(SC),REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,552469,5123,557592,39.3,Lost
Andhra Pradesh,Chittoor(SC),MOTUKUR JAGAPATHI,Indian National Congress,29431,719,30150,2.12,Lost
Andhra Pradesh,Chittoor(SC),THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13389,122,13511,0.95,Lost
Andhra Pradesh,Chittoor(SC),YUGANDAR . KONDA,Independent,6889,84,6973,0.49,Lost
Andhra Pradesh,Chittoor(SC),K.MUNI KRISHNA,Independent,3954,2,3956,0.28,Lost
Andhra Pradesh,Chittoor(SC),P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2822,11,2833,0.2,Lost
Andhra Pradesh,Chittoor(SC),PETA.MOHAN .,Independent,2365,1,2366,0.17,Lost
Andhra Pradesh,Chittoor(SC),C.SUDHAKAR,Independent,1934,1,1935,0.14,Lost
Andhra Pradesh,Chittoor(SC),N.CHANDRABABU,Independent,1878,7,1885,0.13,Lost
Andhra Pradesh,Chittoor(SC),MADASI SUDHARSHAN,Independent,1575,3,1578,0.11,Lost
Andhra Pradesh,Chittoor(SC),D.MAHESH,Independent,1109,10,1119,0.08,Lost
Andhra Pradesh,Chittoor(SC),P.MADHU,Independent,902,4,906,0.06,Lost
Andhra Pradesh,Chittoor(SC),N.BHUPATHI,Independent,862,32,894,0.06,Lost
Andhra Pradesh,Chittoor(SC),A. PURNA CHANDRA,Independent,856,1,857,0.06,Lost
Andhra Pradesh,Chittoor(SC),PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,670,6,676,0.05,Lost
Andhra Pradesh,Chittoor(SC),N.GANGAIAH .,Independent,547,5,552,0.04,Lost
Andhra Pradesh,Chittoor(SC),T NARESH,Independent,532,2,534,0.04,Lost
Andhra Pradesh,Chittoor(SC),BANDAPALLI RAMESH,Independent,490,3,493,0.03,Lost
Andhra Pradesh,Chittoor(SC),NOTA,None of the Above,11812,164,11976,0.84,Lost
Andhra Pradesh,Eluru,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54,Won
Andhra Pradesh,Eluru,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84,Lost
Andhra Pradesh,Eluru,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51,Lost
Andhra Pradesh,Eluru,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88,Lost
Andhra Pradesh,Eluru,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49,Lost
Andhra Pradesh,Eluru,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16,Lost
Andhra Pradesh,Eluru,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11,Lost
Andhra Pradesh,Eluru,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09,Lost
Andhra Pradesh,Eluru,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07,Lost
Andhra Pradesh,Eluru,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06,Lost
Andhra Pradesh,Eluru,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05,Lost
Andhra Pradesh,Eluru,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05,Lost
Andhra Pradesh,Eluru,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05,Lost
Andhra Pradesh,Eluru,NOTA,None of the Above,22371,144,22515,1.63,Lost
Andhra Pradesh,Guntur,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68,Won
Andhra Pradesh,Guntur,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,36.5,Lost
Andhra Pradesh,Guntur,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,0.61,Lost
Andhra Pradesh,Guntur,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,0.39,Lost
Andhra Pradesh,Guntur,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,0.3,Lost
Andhra Pradesh,Guntur,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,0.14,Lost
Andhra Pradesh,Guntur,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,0.12,Lost
Andhra Pradesh,Guntur,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,0.09,Lost
Andhra Pradesh,Guntur,SYED. SAIDA,Navarang Congress Party,1216,6,1222,0.09,Lost
Andhra Pradesh,Guntur,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,0.07,Lost
Andhra Pradesh,Guntur,PILLI BABU RAO,Independent,688,4,692,0.05,Lost
Andhra Pradesh,Guntur,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,540,2,542,0.04,Lost
Andhra Pradesh,Guntur,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,0,461,0.03,Lost
Andhra Pradesh,Guntur,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,0.03,Lost
Andhra Pradesh,Guntur,SHAIK. KHAJAVALI,Independent,387,4,391,0.03,Lost
Andhra Pradesh,Guntur,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,0.03,Lost
Andhra Pradesh,Guntur,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,0.03,Lost
Andhra Pradesh,Guntur,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,0.03,Lost
Andhra Pradesh,Guntur,GAYATRI AUDHIPUDI,Independent,350,7,357,0.03,Lost
Andhra Pradesh,Guntur,ASHOK ANAND GALI,Independent,335,0,335,0.02,Lost
Andhra Pradesh,Guntur,SHAIK ASLAM AKTHER,Independent,334,1,335,0.02,Lost
Andhra Pradesh,Guntur,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,0.02,Lost
Andhra Pradesh,Guntur,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,0.02,Lost
Andhra Pradesh,Guntur,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,0.02,Lost
Andhra Pradesh,Guntur,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,0.02,Lost
Andhra Pradesh,Guntur,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,0,268,0.02,Lost
Andhra Pradesh,Guntur,SIVA PARVATHI,Independent,262,4,266,0.02,Lost
Andhra Pradesh,Guntur,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01,Lost
Andhra Pradesh,Guntur,SRIKRISHNA AKKISETTI,Independent,179,0,179,0.01,Lost
Andhra Pradesh,Guntur,MADAVARAPU NAGA RAJU,Independent,172,0,172,0.01,Lost
Andhra Pradesh,Guntur,NOTA,None of the Above,7210,177,7387,0.52,Lost
Andhra Pradesh,Hindupur,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23,Won
Andhra Pradesh,Hindupur,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88,Lost
Andhra Pradesh,Hindupur,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89,Lost
Andhra Pradesh,Hindupur,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57,Lost
Andhra Pradesh,Hindupur,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38,Lost
Andhra Pradesh,Hindupur,H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16,Lost
Andhra Pradesh,Hindupur,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14,Lost
Andhra Pradesh,Hindupur,S N SURESH,Independent,1611,20,1631,0.12,Lost
Andhra Pradesh,Hindupur,DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09,Lost
Andhra Pradesh,Hindupur,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282,10,1292,0.09,Lost
Andhra Pradesh,Hindupur,T SUDHAKAR REDDY,Independent,1227,10,1237,0.09,Lost
Andhra Pradesh,Hindupur,S RAGHUNATHA REDDY,Independent,693,17,710,0.05,Lost
Andhra Pradesh,Hindupur,BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05,Lost
Andhra Pradesh,Hindupur,NOTA,None of the Above,17826,145,17971,1.27,Lost
Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78,Won
Andhra Pradesh,Kadapa,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,532358,10090,542448,41.03,Lost
Andhra Pradesh,Kadapa,Y.S. SHARMILA REDDY,Indian National Congress,136395,4644,141039,10.67,Lost
Andhra Pradesh,Kadapa,PANDITI. GURAPPA.,Bahujan Samaj Party,3790,20,3810,0.29,Lost
Andhra Pradesh,Kadapa,VENU GOPAL RACHINENI,Rashtriya Praja Congress  (Secular),3500,70,3570,0.27,Lost
Andhra Pradesh,Kadapa,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2414,16,2430,0.18,Lost
Andhra Pradesh,Kadapa,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2329,4,2333,0.18,Lost
Andhra Pradesh,Kadapa,L. KHAJA HUSSAIN,Independent,1087,1,1088,0.08,Lost
Andhra Pradesh,Kadapa,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,752,3,755,0.06,Lost
Andhra Pradesh,Kadapa,KAKARLA SHANMUKHA REDDY,Independent,633,14,647,0.05,Lost
Andhra Pradesh,Kadapa,PALLE RAMESH,Jaibhim Rao Bharat Party,619,5,624,0.05,Lost
Andhra Pradesh,Kadapa,CHAN BASHA. S,Anna YSR Congress Party,432,7,439,0.03,Lost
Andhra Pradesh,Kadapa,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,414,20,434,0.03,Lost
Andhra Pradesh,Kadapa,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,358,11,369,0.03,Lost
Andhra Pradesh,Kadapa,NOTA,None of the Above,16660,186,16846,1.27,Lost
Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87,Won
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188,5020,500208,37.62,Lost
Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258,851,21109,1.59,Lost
Andhra Pradesh,Kakinada,UDAY,Navarang Congress Party,15578,125,15703,1.18,Lost
Andhra Pradesh,Kakinada,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916,63,11979,0.9,Lost
Andhra Pradesh,Kakinada,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818,36,9854,0.74,Lost
Andhra Pradesh,Kakinada,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516,43,6559,0.49,Lost
Andhra Pradesh,Kakinada,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924,3,3927,0.3,Lost
Andhra Pradesh,Kakinada,BUGATHA BANGARRAO,Communist Party of India  (Marxist-Leninist)  (Liberation),2816,7,2823,0.21,Lost
Andhra Pradesh,Kakinada,SUDHA VEERA GANESH,Independent,2645,2,2647,0.2,Lost
Andhra Pradesh,Kakinada,BHAVANI SANKAR PRASAD MERLA,Independent,1963,6,1969,0.15,Lost
Andhra Pradesh,Kakinada,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762,18,1780,0.13,Lost
Andhra Pradesh,Kakinada,BODDETI APPARAO,Independent,1687,0,1687,0.13,Lost
Andhra Pradesh,Kakinada,NEELAKANTAM DONAM,Independent,1401,11,1412,0.11,Lost
Andhra Pradesh,Kakinada,PASUPULETI S.V.S.BHUSHANAM,Independent,1222,5,1227,0.09,Lost
Andhra Pradesh,Kakinada,NOTA,None of the Above,17105,115,17220,1.29,Lost
Andhra Pradesh,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51,Won
Andhra Pradesh,Kurnoolu,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,543801,3815,547616,41.15,Lost
Andhra Pradesh,Kurnoolu,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,68972,1401,70373,5.29,Lost
Andhra Pradesh,Kurnoolu,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8533,56,8589,0.65,Lost
Andhra Pradesh,Kurnoolu,BOYA SURESH,Independent,5891,9,5900,0.44,Lost
Andhra Pradesh,Kurnoolu,T. BEECHUPALLI,Independent,5125,2,5127,0.39,Lost
Andhra Pradesh,Kurnoolu,VIJAYA BHASKAR .REDDYPOGU,Independent,3504,4,3508,0.26,Lost
Andhra Pradesh,Kurnoolu,PAGADALA KODANDA,Independent,3070,6,3076,0.23,Lost
Andhra Pradesh,Kurnoolu,DEVARAPOGU MADDILETY,Independent,2576,6,2582,0.19,Lost
Andhra Pradesh,Kurnoolu,PRAKASH REDDY RALAMPADU,Independent,2222,3,2225,0.17,Lost
Andhra Pradesh,Kurnoolu,JAHANGIR AHMED,Social Democratic Party Of India,2058,16,2074,0.16,Lost
Andhra Pradesh,Kurnoolu,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1847,9,1856,0.14,Lost
Andhra Pradesh,Kurnoolu,ABDUL SATTAR  A.S.R,Anna YSR Congress Party,1565,36,1601,0.12,Lost
Andhra Pradesh,Kurnoolu,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1385,5,1390,0.1,Lost
Andhra Pradesh,Kurnoolu,URUKUNDU VADDE,Independent,1284,11,1295,0.1,Lost
Andhra Pradesh,Kurnoolu,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1162,2,1164,0.09,Lost
Andhra Pradesh,Kurnoolu,SUNKARA SREEDHAR,Jai Bharat National Party,1149,14,1163,0.09,Lost
Andhra Pradesh,Kurnoolu,TARIGOPULA RAJABABU,All Peoples Party,1032,1,1033,0.08,Lost
Andhra Pradesh,Kurnoolu,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,777,6,783,0.06,Lost
Andhra Pradesh,Kurnoolu,NOTA,None of the Above,10394,117,10511,0.79,Lost
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22,Won
Andhra Pradesh,Machilipatnam,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,495211,6049,501260,38.21,Lost
Andhra Pradesh,Machilipatnam,GOLLU KRISHNA,Indian National Congress,31130,695,31825,2.43,Lost
Andhra Pradesh,Machilipatnam,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,10518,623,11141,0.85,Lost
Andhra Pradesh,Machilipatnam,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,9911,117,10028,0.76,Lost
Andhra Pradesh,Machilipatnam,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5245,9,5254,0.4,Lost
Andhra Pradesh,Machilipatnam,VALLABHANENI NAGA PAVAN KUMAR,Independent,5206,14,5220,0.4,Lost
Andhra Pradesh,Machilipatnam,MARADANI K R SWAMY,Jai Maha Bharath Party,2206,8,2214,0.17,Lost
Andhra Pradesh,Machilipatnam,GANDHI  DHANEKULA,Independent,1989,2,1991,0.15,Lost
Andhra Pradesh,Machilipatnam,PAMULA BALA SOWRYAMMA,Independent,1576,6,1582,0.12,Lost
Andhra Pradesh,Machilipatnam,ANUSHA YERUVA,Independent,1233,2,1235,0.09,Lost
Andhra Pradesh,Machilipatnam,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1102,9,1111,0.08,Lost
Andhra Pradesh,Machilipatnam,JOGI VEERANJANEYULU,Independent,1020,2,1022,0.08,Lost
